,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
85,5YJXCDE24L,Snohomish,Everett,WA,98208.0,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,21.0,128631331,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041606.0
86,5UXTA6C06P,Skagit,Anacortes,WA,98221.0,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,40.0,236512027,POINT (-122.615305 48.501275),PUGET SOUND ENERGY INC,53057940700.0
87,1N4AZ1CP1J,Snohomish,Lynnwood,WA,98036.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,32.0,123306284,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051929.0
88,5YJ3E1EB0K,Whitman,Pullman,WA,99163.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,9.0,226160903,POINT (-117.17912 46.730885),AVISTA CORP,53075000602.0
89,5YJ3E1EA9J,Yakima,Yakima,WA,98908.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14.0,259192566,POINT (-120.6027202 46.5965625),PACIFICORP,53077000402.0
90,JN1AZ0CP3B,Yakima,Yakima,WA,98908.0,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,14.0,347738905,POINT (-120.6027202 46.5965625),PACIFICORP,53077002804.0
91,5UXTA6C08M,Yakima,Yakima,WA,98901.0,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,15.0,144618841,POINT (-120.500225 46.6043),PACIFICORP,53077001602.0
92,WBY2Z2C53F,Thurston,Yelm,WA,98597.0,2015,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,2.0,154666788,POINT (-122.61023 46.94126),PUGET SOUND ENERGY INC,53067012421.0
93,1G1RC6S56H,Yakima,Yakima,WA,98908.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,14.0,108867573,POINT (-120.6027202 46.5965625),PACIFICORP,53077000902.0
94,1N4AZ0CP9D,Snohomish,Everett,WA,98203.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,38.0,184223273,POINT (-122.213105 47.95479),PUGET SOUND ENERGY INC,53061041201.0
95,5YJXCBE29J,Skagit,La Conner,WA,98257.0,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10.0,111526327,POINT (-122.5135345 48.3829111),PUGET SOUND ENERGY INC,53057952100.0
96,1G1RC6S50J,Skagit,Burlington,WA,98233.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,40.0,192335440,POINT (-122.33079 48.474765),PUGET SOUND ENERGY INC,53057951600.0
97,1C4JJXR65M,Yakima,Selah,WA,98942.0,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,15.0,183340601,POINT (-120.54188 46.654175),PACIFICORP,53077003100.0
98,5YJXCAE24H,,,BC,,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,,159850029,,,
99,1N4AZ1CP3J,King,Issaquah,WA,98027.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,5.0,338287428,POINT (-122.03646 47.534065),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032102.0
