,the_geom,OBJECTID_1,Street,StreetCode,RouteType,BoroName,Restrictio,BoroCode,TruckRoute,LtdLocal,NYC_Reg,SegmentID,Shape_Leng,LocalTunl,LocalBrg,ThruTunl,ThruBrg,assem_dist,cong_dist,coun_dist,st_sen_dis,ThruExwy,BoroCD
69,"MULTILINESTRING ((-73.85952621095966 40.825885101512426, -73.85955534513441 40.82595512358863))",70,WHITE PLAINS ROAD,277150,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",184238,26.7554679914,,,,,87,15,18,34,,209
70,"MULTILINESTRING ((-73.86354938303707 40.864655328664824, -73.86258308625398 40.865373565681814))",71,BOSTON ROAD,213820,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",87680,374.047924071,,,,,80,14,13,34,,211
71,"MULTILINESTRING ((-73.93039605135712 40.81330374692142, -73.9302781270452 40.81324802492265))",72,EAST 138 STREET,225800,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",173418,38.4407387874,,,,,84,15,8,29,,201
72,"MULTILINESTRING ((-73.8557705236823 40.87398371275391, -73.85551758376445 40.87390395610518))",73,EAST GUN HILL ROAD,229320,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",178469,75.7478330173,,,,,83,16,12,36,,212
73,"MULTILINESTRING ((-73.85867194038075 40.82642407646616, -73.8572787131325 40.82659962331096))",74,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",86270,390.850616497,,,,,87,15,18,34,,209
74,"MULTILINESTRING ((-73.86018073429389 40.900632593861246, -73.85936555543864 40.90036736102357))",75,NEREID AVENUE,253720,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",9014414,245.199218,,,,,81,16,11,34,,212
75,"MULTILINESTRING ((-73.82765823643334 40.85027403363571, -73.82742445631497 40.85099364656714))",76,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94485,270.041870856,,,,,82,14,13,34,,210
76,"MULTILINESTRING ((-73.82767626155238 40.832357970680654, -73.82711261948766 40.83168201610066))",77,EAST TREMONT AVENUE,229620,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94363,291.514132735,,,,,82,14,13,34,,210
77,"MULTILINESTRING ((-73.83044382785197 40.83155754250159, -73.82997139595724 40.831849760356384))",78,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",94344,168.60382925,,,,,82,14,13,34,,210
78,"MULTILINESTRING ((-73.82646172235238 40.8533048577428, -73.82635827732234 40.85328474716562))",79,WESTCHESTER AVENUE,276950,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",179822,29.5404719468,,,,,82,14,13,34,,228
