,the_geom,OBJECTID,ID,RT_SYMBOL,NAME,URL,SHAPE_LEN
10,"LINESTRING (-73.83564904332516 40.58102016819902, -73.8340505579003 40.581467184940415, -73.83402633345717 40.58147324020181, -73.83400733323538 40.58147924086978, -73.83395657143501 40.58149193156712, -73.83393557169225 40.58149693155122, -73.83389557183241 40.5815069316974, -73.83387457208036 40.581511931670356, -73.8338545727345 40.581516931285186, -73.83379899882708 40.58153016337397, -73.83377799918829 40.58153416284567, -73.83375404250259 40.58153986723216, -73.83358139000568 40.58157679277011, -73.83357040977015 40.58157937758246, -73.83355407044367 40.581582100515185, -73.83352734458896 40.58158803948186, -73.83351034537438 40.58159203839736, -73.83348520190758 40.58159762664126, -73.83346820255333 40.581602626934654, -73.83343415321652 40.58161019241958, -73.8334145554597 40.58161563739961, -73.8333975538691 40.581619636294995, -73.83330235323682 40.58164608171879, -73.830636096346 40.582389432033054, -73.83058231533252 40.582404946240764, -73.83053131717483 40.582419945825414, -73.83047931621113 40.58243494480839, -73.8304276631664 40.58245013789435, -73.83037731505166 40.582464945657634, -73.83032307411804 40.58248059234285, -73.83026850933248 40.582497709982626, -73.83021850891211 40.582513710485784, -73.8301682101975 40.58252949169852, -73.83011650833105 40.58254571207204, -73.83006433750512 40.58256240540507, -73.8300133387425 40.58257940572664, -73.82996260884599 40.58259563827527, -73.82991042936737 40.58261337973728, -73.82985878419989 40.58263093916016, -73.8295382830112 40.58274482902799, -73.82948171640983 40.58276539773997, -73.82942894621968 40.5827849418592, -73.82937819533876 40.58280279866672, -73.82932448941372 40.58282103828801, -73.82927285685538 40.58283954842128, -73.8292221800571 40.582856115717554, -73.82917229516967 40.58287338387717, -73.8291209671274 40.582889177509685, -73.82907029683233 40.5829064048338, -73.82902375188156 40.58292100783981, -73.82897461158034 40.58293574924673, -73.82892724832062 40.58295024833571, -73.82887990997854 40.58296377307373, -73.8288305058878 40.58297818263282, -73.82878415067464 40.58299199066051, -73.82761451224238 40.583326600571354)",763,2000278,L,S,http://web.mta.info/nyct/service/,2385.99468058
11,"LINESTRING (-73.8205901409339 40.58543251741375, -73.81367312889553 40.5881595192261)",764,2000276,L,S,http://web.mta.info/nyct/service/,2162.89773325
12,"LINESTRING (-73.94744464025028 40.81783874271449, -73.94474317457728 40.823639558533216, -73.94472363295323 40.82367957530912, -73.94470290507803 40.82371914126461, -73.94468160450936 40.823758842015835, -73.9446606383342 40.82379695985162, -73.94463874161156 40.82383504121677, -73.94461615714152 40.82387333746573, -73.94459431576881 40.82391037247237, -73.94457203248643 40.82394565219585, -73.94454853570596 40.82398187775247, -73.94452641932159 40.82401597339496, -73.94450284694304 40.82404897422991, -73.94447931885381 40.824082853965116, -73.94445554294346 40.8241139456409, -73.94443025394233 40.82414701587229, -73.94440290208655 40.82418173211025, -73.94402595206861 40.82470342757654)",765,2000210,B,B-D,http://web.mta.info/nyct/service/,2677.81414564
13,"LINESTRING (-73.94402379793196 40.82470648641543, -73.943957061491 40.82480364630588, -73.94321338433927 40.82582282996019)",766,2000211,B,B-D,http://web.mta.info/nyct/service/,464.480022651
14,"LINESTRING (-74.00030695904226 40.732256057553805, -74.00028826474538 40.73228098186851, -73.99985301935625 40.73287954541795, -73.99971452925632 40.73306985044099, -73.99968549267092 40.733120825428095, -73.99964305028713 40.73323466843915, -73.99960688195398 40.73334712287087, -73.99954430911046 40.73355742819496, -73.99953136227725 40.733650960312026, -73.99950232414002 40.733698536731474)",767,2000192,B,B-D-F-M,http://web.mta.info/nyct/service/,576.38360434
15,"LINESTRING (-73.9821027992541 40.69161922506988, -73.98235248861931 40.69185432815298, -73.98250261292708 40.69195978944512, -73.98266427503424 40.692042625088014, -73.98283630997368 40.69209175945065, -73.9830190981561 40.69214089604347, -73.98319230215033 40.69215853190205, -73.9832719486712 40.69216577372556, -73.98338246809566 40.692171137883825, -73.98599702951806 40.692269195875845)",768,2000444,N,R,http://web.mta.info/nyct/service/,1152.89754733
16,"LINESTRING (-73.9821027992541 40.69161922506988, -73.98143141567358 40.6901816628849, -73.98117729974506 40.68984065576865, -73.98091212009179 40.689537737954375, -73.98058947635587 40.689217982846785, -73.98020051935917 40.68890158064947, -73.97982023975624 40.68865606165864)",769,2000448,N,N-Q-R,http://web.mta.info/nyct/service/,1274.36260676
17,"LINESTRING (-73.98210154113494 40.69161674666225, -73.98322553656733 40.69388674888207)",770,2000447,N,N-Q,http://web.mta.info/nyct/service/,883.816040553
18,"LINESTRING (-73.97892994559895 40.683678167727, -73.9783909870683 40.68467209465036, -73.97836313187639 40.68471339778738, -73.9783397907588 40.684751103313914, -73.97831781115443 40.684788908148676, -73.97829789066893 40.68482784351224, -73.97827931220313 40.68486499971018, -73.97826365552045 40.684902401396684, -73.9782485273155 40.68494067127611, -73.9782367347751 40.68497604573181, -73.97822589809992 40.685014879240605, -73.97821635042297 40.68505133563578, -73.9782094653814 40.68508834184763, -73.97820337395957 40.68512575794303, -73.9781999232709 40.68516198856157, -73.97819723482894 40.685200528241644, -73.97819655715332 40.68522899065267, -73.97851889050428 40.687426573876316, -73.97852613004811 40.68747182783394, -73.97853516818188 40.6875120797737, -73.9785468415384 40.68755021869861, -73.9785614685445 40.68758563051697, -73.97857992562889 40.68762254330183, -73.97860039692357 40.687657188965105, -73.97862449416478 40.68769172543549, -73.97864724763116 40.6877259896963, -73.97866892891344 40.68776893110185, -73.97870796496963 40.68781517699794, -73.97877303210451 40.68786803565319, -73.97888581293411 40.68796714080107, -73.97909835172788 40.688188469980226, -73.97925450738713 40.68833712708132, -73.97936728068825 40.68846926168187)",771,2000470,N,N-R,http://web.mta.info/nyct/service/,1862.75927507
19,"LINESTRING (-73.83112559956722 40.71430241139703, -73.82846054190293 40.71298989181478, -73.8283817304327 40.71295206179686, -73.82830093862742 40.71291581007072, -73.82822191175777 40.71288034976987, -73.82814087782576 40.712844897224414, -73.82805988417284 40.7128094617915, -73.82797524500864 40.712773335563945, -73.8278901186653 40.712738464760164, -73.82780517339994 40.712704082241736, -73.8277187943242 40.712669530919776, -73.82762972130693 40.712634720654066, -73.82754068357093 40.71260094686167, -73.82745195963255 40.71256805056955, -73.82736097431612 40.71253329125944, -73.82726713125795 40.71250029169294, -73.82717750297363 40.71246848795399, -73.82257081336513 40.710699761296624, -73.82241911238462 40.710641036377694, -73.8222751949062 40.71058099231729, -73.82214050207881 40.710518827213384, -73.8220110472325 40.71045268077865, -73.82188898216145 40.71038507599455, -73.82177392648586 40.710313984340964, -73.82166547696639 40.71024106125716, -73.82156337805226 40.71016495199437, -73.82146830204206 40.710086489685935, -73.8213808801106 40.71000551053468, -73.82129840461651 40.709920254354884, -73.82122247591356 40.7098332162618, -73.82115244472926 40.709742913015575, -73.82108947645092 40.70965031538994, -73.82102909767104 40.709550640121385, -73.82077163561405 40.709111561903654)",772,2000307,B,F,http://web.mta.info/nyct/service/,3501.40278932
