,From Date,To Date,Remote Station ID,Station,Full Fare,Senior Citizen/Disabled,7 Day ADA Farecard Access System Unlimited,30 Day ADA Farecard Access/Reduced Fare Media Unlimited,Joint Rail Road Ticket,7 Day Unlimited,30 Day Unlimited,14 Day Reduced Fare Media Unlimited,1 Day Unlimited,14 Day Unlimited,7 Day Express Bus Pass,TransitCheck,Long Island Bus Special Senior,Reduced Fare 2-Trip,Rail Road Unlimited No Trade,TransitCheck Annual,Mail and Ride EasyPay Express,Mail and Ride EasyPay Unlimited,PATH 2-Trip,AirTrain Full Fare,AirTrain 30 Day Unlimited,AirTrain 10-Trip,AirTrain Monthly,Student,NICE 2-Trip,CUNY 120 Day,CUNY 60 Day,Fair Fares Pay-Per-Ride,Fair Fares 7 Day Unlimited,Fair Fares 30 Day Unlimited
39,07/31/2021,08/06/2021,R042,BOWLING GREEN & BROADWAY,5065,325,29,44,1,2478,1093,0,0,0,57,33,0,0,5,82,79,39,0,163,0,0,0,61,0,0,0,148,72,36
40,07/31/2021,08/06/2021,R043,WALL STREET,14213,857,49,106,18,4703,4721,0,0,0,122,129,0,0,28,380,385,153,0,202,0,0,0,108,0,0,0,378,112,100
41,07/31/2021,08/06/2021,R044,BROOKLYN BRIDGE,26976,2266,140,309,21,7939,7056,0,0,0,66,197,0,10,68,523,515,233,0,436,0,0,0,145,0,0,0,956,232,234
42,07/31/2021,08/06/2021,R045,42ND STREET & GRAND CENTRAL,12025,1099,47,75,26,2177,2373,0,0,0,23,112,0,5,80,207,369,127,0,166,0,0,0,77,0,0,0,215,71,65
43,07/31/2021,08/06/2021,R046,42ND STREET & GRAND CENTRAL,72259,4504,269,472,138,15537,14875,0,0,0,146,515,0,4,285,1292,1613,566,0,966,2,0,0,196,0,0,0,1420,439,448
44,07/31/2021,08/06/2021,R047,42ND STREET & GRAND CENTRAL,31433,2406,195,288,22,9364,10323,0,0,0,100,420,0,0,72,1038,761,341,0,392,0,0,0,118,0,0,0,1016,296,314
45,07/31/2021,08/06/2021,R048,42ND STREET & 3RD AVENUE,8432,713,34,86,10,2400,3302,0,0,0,9,116,0,1,10,316,290,99,0,90,0,0,0,23,0,0,0,228,50,80
46,07/31/2021,08/06/2021,R049,51ST STREET & LEXINGTON AVE,15149,1089,92,132,5,5607,4825,0,0,0,59,169,0,0,7,454,368,179,0,278,0,0,0,76,0,0,0,424,127,129
47,07/31/2021,08/06/2021,R050,59TH STREET & LEXINGTON AVE,17945,1662,104,241,10,6564,6996,0,0,0,53,216,0,1,40,506,439,233,0,175,0,0,0,49,0,0,0,477,202,191
48,07/31/2021,08/06/2021,R051,59TH STREET & LEXINGTON AVE,30034,2616,250,409,6,14662,12764,0,0,0,65,301,0,5,14,892,644,351,0,271,0,0,0,154,0,0,0,1193,601,575
49,07/31/2021,08/06/2021,R052,WOODLAWN ROAD,4756,395,100,125,0,4401,2197,0,0,0,7,17,0,7,0,172,50,5,0,10,0,0,0,137,0,0,0,255,220,133
