,kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
85,INTAKE,A704955,40216,STRAY,OTC,2021/12/01 00:00:00,STRAY,TNR,CARETAKER,2021/12/03 00:00:00,CAT,N,N,MED,GRAY TABBY / BUFF,DOMESTIC MH,40216,86
86,INTAKE,A704949,40216,STRAY,OTC,2021/12/01 00:00:00,STRAY,TNR,CARETAKER,2021/12/03 00:00:00,CAT,N,N,MED,GRAY TABBY,DOMESTIC SH,40216,87
87,INTAKE,A704957,40216,STRAY,OTC,2021/12/01 00:00:00,STRAY,TNR,CARETAKER,2021/12/03 00:00:00,CAT,S,N,MED,CALICO / GRAY TABBY,DOMESTIC MH,40216,88
88,INTAKE,A704951,40216,STRAY,OTC,2021/12/01 00:00:00,STRAY,TNR,CARETAKER,2021/12/03 00:00:00,CAT,S,N,MED,TORTIE / MUTED,DOMESTIC SH,40216,89
89,INTAKE,A704953,40216,STRAY,OTC,2021/12/01 00:00:00,STRAY,TNR,CARETAKER,2021/12/03 00:00:00,CAT,S,N,MED,GRAY TABBY / WHITE,DOMESTIC SH,40216,90
90,INTAKE,A704956,40216,STRAY,OTC,2021/12/01 00:00:00,STRAY,TNR,CARETAKER,2021/12/03 00:00:00,CAT,N,N,MED,GRAY TABBY,DOMESTIC SH,40216,91
91,N30,A688955,40228,RETURN,ADOPTION,2021/03/24 00:00:00,NO TIME,ADOPTION,FACEBOOK,2021/03/25 00:00:00,DOG,S,N,PUPPY,TAN,LABRADOR RETR / MIX,40228,92
92,LOST,A750340,,LOST,WEB,2023/11/06 00:00:00,,,,,DOG,F,,SMALL,BROWN,SKYE TERRIER,40228,93
93,LOST,A748305,,LOST,WEB,2023/11/06 00:00:00,,,,,DOG,F,,SMALL,BROWN,CHIHUAHUA LH,40228,94
94,N03,A721252,40207,STRAY,OTC,2022/08/14 00:00:00,STRAY,ADOPTION,WALK IN,2022/09/11 00:00:00,DOG,S,N,MED,BLACK / WHITE,LABRADOR RETR,40207,95
95,TNR/SNR,A649942,40272,STRAY,FIELD,2021/03/03 00:00:00,STRAY,SNR,,2021/03/16 00:00:00,CAT,N,Y,LARGE,BLACK,DOMESTIC SH,40272-4066,96
96,C106,A686752,40272,STRAY,FIELD,2021/07/09 00:00:00,STRAY,RTF,,2021/07/22 00:00:00,CAT,S,N,MED,TORTIE,DOMESTIC SH,40272-4066,97
97,C123,A586976,40272,STRAY,FIELD,2021/07/19 00:00:00,STRAY,RTF,,2021/07/22 00:00:00,CAT,N,Y,LARGE,ORANGE / WHITE,DOMESTIC SH,40272-4066,98
98,N03,A727610,OUT OF COUNTY,FOSTER,RETURN,2023/08/13 00:00:00,FOSTER RET,FOSTER,TIME/SPACE,2023/08/22 00:00:00,DOG,N,N,LARGE,GRAY / WHITE,PIT BULL,40065,99
99,INTAKE,A736673,40272,FOSTER,RETURN,2023/06/04 00:00:00,FOSTER RET,ADOPTION,WALK IN,2023/06/04 00:00:00,DOG,S,N,MED,BROWN,PIT BULL / MIX,40065,100
