,Region,County,Municipality,BIN,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Date of Last Inspection,Poor Status
59,1,Albany,Albany (City),1073522,JCT I87 OVER I90,910F910F11011007,FR I87 S TO I90 E,NYSDOT,1986,05/03/2019,Y
60,1,Albany,Albany (City),1073512,JCT I87 OVER I90,910F910F11011008,FR I90 E TO I87 N,NYSDOT,1987,03/21/2019,N
61,1,Albany,Albany (City),1073511,JCT I87 OVER I90,910F910F11011008,FR I90E TO I87N,NYSDOT,1987,03/19/2019,N
62,1,Albany,Albany (City),1060340,.2 MI N JCT RTS 20 & 85,ACCESS CAMPUS RD,85  85 11012012,NYSDOT,2000,10/05/2018,N
63,1,Albany,Albany (City),1060350,.5 MI N JCT SH 20 & SH 85,ACCESS CAMPUS RD,85  85 11012015,NYSDOT,2000,10/24/2018,N
64,1,Albany,Albany (City),1093151,0.4 MI NW JCT 85 & 910D,ACCESS ROAD AB,WASHINGTON AVE,State - Other,1963,05/10/2018,N
65,1,Albany,Albany (City),1093152,0.4 MI NW JCT 85 & 910D,ACCESS ROAD BA,WASHINGTON AVE,State - Other,1963,05/10/2018,N
66,1,Albany,Albany (City),2256840,.8 MI NE JCT SH 32 & I787,ALBANY CITY ST'S,BEAVER RELIEF SWR,City,1900,12/23/2019,N
67,1,Albany,Albany (City),1092520,JCT I90 & US 9,ALBANY-SHAKER RD,US 9 AND RAMPS,NYSDOT,1969,10/26/2018,N
68,1,Albany,Albany (City),1093170,0.8 MI NW JCT 85 & 910D,CAMPUS ACCESS ROAD,CAMPUS-I90 CONN,State - Other,1963,06/11/2019,N
69,1,Albany,Albany (City),1034489,1.2 MI E JCT I90 & CR 156,CAMPUS CONNECTOR,90I 90I11011018,NYSDOT,1968,09/12/2018,N
70,1,Albany,Albany (City),109288C,JCT ORANGE ST & I787 NB,CLINT AVE TO I787,787IX,NYSDOT,1970,12/20/2018,N
71,1,Albany,Albany (City),109288D,JCT ORANGE ST & I787 SB,CLINTON AVE RAMP,WATER STREET,NYSDOT,1970,12/13/2018,N
72,1,Albany,Albany (City),1092579,1.4 MI SE JCT I90 & SH 5,CORP.WOODS BLVD,90I 90I11011037,NYSDOT,1972,09/12/2018,N
73,1,Albany,Albany (City),109294A,DOWNTOWN ALBANY,DUNN WB TO I787SB,787I787I11011019,NYSDOT,1973,12/10/2019,N
74,1,Albany,Albany (City),1092981,E.S.PLAZA RAMP & NB I787,EM ST PLZA ARTERY,787I787I11011011,NYSDOT,1972,12/10/2019,N
75,1,Albany,Albany (City),1092982,E.S.PLAZA & SB I787,EM ST PLZA ARTERY,787I787I11011011,NYSDOT,1972,12/10/2019,N
76,1,Albany,Albany (City),1034529,EXIT 5 OF I90,EVERETT ROAD,90I 90I11011031,NYSDOT,1965,08/23/2019,N
77,1,Albany,Albany (City),1095889,1.1 MI E JCT I90 & S.H.85,EVERETT ROAD,CSX TRANS/ AMTRAK,NYSDOT,1965,12/08/2019,N
